trip_id,avg_speed,max_speed,braking_events,acceleration_events,night_driving,phone_usage,trip_duration,risk_score,label
TRIP_33,54.83803330314479,101.46335428369562,3,3,0,0,29.415224696442735,28.547412063043474,0
TRIP_34,42.3074688525292,92.04794827402662,1,3,0,0,58.48181989938668,23.788432949783694,0
TRIP_35,64.87053894523827,85.67926996263516,1,2,0,0,43.233177732805004,21.706504436141145,0
TRIP_36,40.34987620034774,63.10593865466409,3,5,0,0,29.088642815291344,21.35687525659202,0
TRIP_37,57.50636314005706,105.27200213139433,0,5,0,0,52.400726433596134,26.727111584754297,0
TRIP_38,31.483958513442694,84.34598320676177,3,2,0,0,41.68095158171428,24.07688515705817,0
TRIP_39,39.06176741321883,71.60166328579425,3,6,0,1,21.01160917329942,38.9114807301765,0
TRIP_40,57.36233483042948,37.55475573436701,0,1,1,0,62.882039533707726,24.012167940970446,0
TRIP_41,63.86159895994493,94.44970189898727,2,4,1,0,38.89218234629715,41.32215597755272,0
TRIP_42,57.05641937427965,130.4450319333949,1,1,0,0,35.28194287978238,30.987784874087748,0
TRIP_43,53.612220611341115,128.2251842909574,2,1,0,1,22.16700995141576,46.827818731323866,0
TRIP_44,51.386755652928535,85.85807486827457,4,3,0,0,52.69307401411607,26.412905526283243,0
TRIP_45,37.25773611559087,82.95575879276439,4,3,0,0,42.7591314104196,25.767946398392088,0
TRIP_46,46.3618694992635,104.37548512150047,1,1,0,0,44.438572704428616,25.19455224922233,0
TRIP_47,49.47233474848255,75.03229121623417,3,5,0,0,27.387029847113475,24.007175825829815,0
TRIP_48,67.68546671462698,101.03583799638932,3,6,1,0,47.511508578651025,45.45240844364208,0
TRIP_49,59.12341947482154,110.32160556769381,2,0,0,0,48.677203903562024,27.182579015043068,0
TRIP_50,33.843518135647194,119.53866447768615,2,2,0,1,24.968326418283162,45.564147661708034,0
TRIP_51,58.88900763273754,92.99691847040094,3,5,0,1,13.745147904785135,42.99931521564465,0
TRIP_52,50.3790126350042,90.92652499646069,2,3,0,0,43.72059589008386,24.872561110324597,0
TRIP_53,46.8769359963285,77.44034826486877,3,5,1,1,11.399795755913903,54.54229961441528,1
TRIP_54,62.34011546609042,78.4623929192028,2,2,0,0,37.28023666756669,21.4360873153784,0
TRIP_55,67.37199426995141,90.47042216196947,1,6,1,0,28.291323428190395,40.43787159154877,0
TRIP_56,66.17536142939439,102.34731013632356,0,4,0,0,53.27997816183382,25.41051336362746,0
TRIP_57,44.929389721328334,113.27169252466499,3,2,0,0,29.107341638491892,30.50482056103666,0
TRIP_58,51.28945148978543,78.9364209863931,4,4,1,0,51.60909458005706,40.54142688586514,0
TRIP_59,58.97516117684277,124.85377137919043,4,6,0,0,27.28685833455461,37.07861586204232,0
TRIP_60,66.70654152546831,89.57752797914863,3,5,0,0,49.999865075894164,27.239450662033033,0
TRIP_61,49.24990914585652,94.57265411303128,3,5,0,0,65.90512315755248,28.34947869178473,0
TRIP_62,52.772092280034194,80.05576641704353,6,6,0,0,18.979292924506392,29.790170314898567,0
TRIP_63,41.72398031192766,46.515194794541166,4,4,0,0,39.38053582596362,18.336709954342485,0
TRIP_64,40.64552051103195,112.680907927221,4,8,1,1,76.23173623865097,65.70686842827133,1
TRIP_65,64.75030986873037,109.73687794184866,5,0,1,0,35.99883240354382,46.05263954263303,0
TRIP_66,71.27488034284988,89.37344885763574,1,2,0,0,35.926824053444726,22.52743307947461,0
TRIP_67,54.13587854103599,96.33981434449744,4,1,0,0,46.8274842102653,27.40884763211054,0
TRIP_68,67.04239477470429,105.31878435408198,2,1,0,0,35.61621296142131,26.737507634240437,0
TRIP_69,59.33963230057161,63.74908286226915,4,6,1,1,9.391610081441712,53.49979619161537,1
TRIP_70,47.25856294473851,84.4189464530741,5,8,1,0,51.984310622584076,45.75976587846091,0
TRIP_71,59.336747266100964,110.88529359243654,2,3,0,0,5.0,29.30784302054145,0
TRIP_72,73.45643879759163,69.91421153661501,4,3,0,0,28.74812523292487,22.86982478591445,0
TRIP_73,54.57008753068058,100.87115864333259,1,8,0,0,53.11138623734972,29.082479698518355,0
TRIP_74,73.77572386976807,67.8683639075319,2,4,0,1,29.651863570358213,35.415191979451535,0
TRIP_75,23.56305875092307,104.32859964867053,4,3,0,0,24.59455261303394,30.517466588593457,0
TRIP_76,64.86283005250269,94.28717035405033,1,9,0,0,48.18895857749841,28.286037856455632,0
TRIP_77,56.044564818858056,62.69736368188981,1,2,0,0,22.233278197484204,16.599414151531068,0
TRIP_78,51.41191179440959,118.29478708914343,0,5,1,0,16.666614206120695,44.621063797587425,0
TRIP_79,56.101129318426025,80.30816846403901,3,5,1,0,39.11770981239925,40.17959299200867,0
TRIP_80,31.149173024789285,78.79495125971238,3,4,1,0,32.25615052381114,39.176655835491644,0
TRIP_81,52.36393734594986,99.01138394461886,4,3,0,0,16.34490328716737,29.335863098804193,0
TRIP_82,59.28535085814096,117.9727469885743,2,6,0,0,44.55428809992305,32.882832664127626,0
TRIP_83,72.73472853689819,74.68356362043207,3,3,0,0,41.96731408365851,22.596347471207128,0
TRIP_84,48.78075738071623,96.23359699695943,6,2,0,0,29.60367475091552,30.71857711043543,0
TRIP_85,45.29807676528175,103.57633000661146,2,1,0,0,30.630019908125803,26.350295557024765,0
TRIP_86,48.97891547698556,108.86211214526288,2,2,1,0,42.05589113013735,43.19158047672508,0
TRIP_87,65.9848254124249,98.5288311055445,2,1,0,0,52.855421296280994,25.228629134565445,0
TRIP_88,58.94501331591621,87.65944321833355,4,3,1,0,30.758101848360127,41.81320960407412,0
TRIP_89,48.64287755479553,78.44819558702561,1,8,1,0,44.82032739512216,39.099599019339024,0
TRIP_90,61.15920919736027,96.7228776609275,4,1,1,0,43.47800325626899,42.493972813539436,0
TRIP_91,56.16493059217648,73.55721976028786,3,4,1,0,48.189609390634644,38.01271550228619,0
TRIP_92,66.62373988639467,36.57299033010786,3,8,0,0,35.58963798115198,17.460664517801746,0
TRIP_93,46.575362873471775,103.73119608315335,5,3,1,0,21.315117289004633,46.71804357403408,0
TRIP_94,51.06805424082678,113.07869682172391,3,3,0,0,28.06251270200046,31.12859929371643,0
TRIP_95,50.29470216241411,47.741351289163234,1,7,1,0,40.14280198672472,31.609189175369607,0
TRIP_96,37.43782062241458,74.80538590580124,1,4,0,0,62.2769656757239,20.623419090178057,0
TRIP_97,58.55344332477491,107.38308522010395,3,2,0,0,27.739705652055825,29.196241160023096,0
TRIP_98,58.13266326615867,136.149909394234,5,1,0,0,47.07181165291099,37.588868754274216,0
TRIP_99,55.06136147970953,95.41587415350816,4,7,0,0,30.0791532398486,31.203527589668482,0
TRIP_100,52.18495439949824,80.43994117541732,2,5,0,0,36.657031338292036,23.87554248342607,0
TRIP_101,38.015551095395026,91.3420711779032,7,2,0,0,57.730951238953885,30.96490470620071,0
TRIP_102,49.95225612681569,122.4975283829637,0,6,1,0,46.4643887213065,46.221672973991936,0
TRIP_103,50.887425801678766,82.0807164175093,4,3,0,0,16.380510908885647,25.57349253722429,0
TRIP_104,45.372672769340575,79.01615986699493,2,3,0,0,26.41287464282614,22.225813303776654,0
TRIP_105,53.06457146000789,85.34512955635935,3,1,0,0,53.84332016662039,23.6322510125243,0
TRIP_106,59.84861028177446,75.93342783482575,1,5,0,0,37.12817063942743,21.54076174107239,0
TRIP_107,77.63423081452636,97.4534063198959,3,3,0,0,17.767398205762046,27.656312515532434,0
TRIP_108,57.09493375398207,127.49356916939121,1,4,0,0,22.715713325394187,32.33190425986471,0
TRIP_109,58.090604688673174,101.46158546232058,3,4,0,0,45.552402840667575,29.21368565829347,0
TRIP_110,54.106649010805995,89.95292995747425,6,7,0,0,49.91615421826445,32.65620665721651,0
TRIP_111,31.9747454164115,89.16377462168911,3,4,0,0,35.26782952223262,26.480838804819808,0
TRIP_112,54.6818334946094,63.73618382606686,2,3,0,0,72.12970701404154,18.830263072459303,0
TRIP_113,55.72276251929232,112.66219554294318,1,2,0,0,47.36228545183458,27.702710120654032,0
TRIP_114,84.55890534982343,93.44325605974396,4,2,1,0,31.347783955506493,42.4318346799431,0
TRIP_115,52.69166842262653,91.39040172818748,4,2,0,0,22.764409278509838,26.975644828486107,0
TRIP_116,58.61856810800335,158.86215135689721,3,4,0,0,20.376735430414378,41.96936696819938,0
TRIP_117,54.58345876353708,100.97505816731372,1,4,0,0,40.03131980720554,26.438901814958605,0
TRIP_118,40.97586354856561,79.96417899809632,4,4,0,1,27.668344326298897,40.76981755513251,0
TRIP_119,68.71387377418024,86.47284807588913,2,4,0,1,60.10615630975137,39.549521794642025,0
TRIP_120,64.02319639224129,117.9689141839351,4,5,0,0,56.994677043767894,34.88198092976336,0
TRIP_121,64.49238336451657,97.26540821075528,1,3,0,0,44.49599821245841,24.947868491278957,0
TRIP_122,44.087350542463135,66.23444043365267,5,3,1,0,17.315057405646566,38.38543120747837,0
TRIP_123,71.8335317312332,113.38457869150407,3,1,0,0,24.916716911713927,29.863239709223127,0
TRIP_124,38.17778724649263,81.63711828922013,1,6,1,1,53.835162886116514,53.47491517538225,1
TRIP_125,62.04228512560324,132.4659555243509,2,6,0,0,26.554007003073473,36.103545672077985,0
TRIP_126,81.28546750971975,116.60096131429297,1,5,0,0,51.83212600879287,30.577991403176213,0
TRIP_127,43.11356409843174,86.05356208682498,5,4,1,0,42.119058845521415,43.45634713040555,0
TRIP_128,48.204427244766734,120.62032723470226,1,3,1,0,35.77576827219781,45.13785049660049,0
TRIP_129,56.19581638105169,96.35711021054807,3,2,0,0,24.457507805968383,26.7460244912329,0
TRIP_130,48.95829215060561,112.05547350244439,2,3,1,1,33.58634234712873,59.5678830005432,1
TRIP_131,36.392038827206406,104.6946563458895,3,4,0,0,37.84471932312347,29.932145854642116,0
TRIP_132,55.82275569767233,78.07286690018253,2,4,0,0,50.48808347451683,22.682859311151677,0
TRIP_133,42.252355435286745,82.12900335365076,5,4,0,0,21.71396599049368,27.58422296747795,0
TRIP_134,60.68310916762218,115.59921635162323,4,8,0,0,31.057747362108273,36.35538141147183,0
TRIP_135,43.96690918919436,88.30449335786918,5,3,1,0,35.67234697898427,43.28988741285982,0
TRIP_136,73.59921286021047,86.92703073516006,2,4,0,0,44.94017536529247,24.650451274480016,0
TRIP_137,45.600960491965154,75.89754841301294,3,3,0,1,21.373034937158344,37.866121869558434,0
TRIP_138,51.13526180553189,103.47198131186923,2,5,1,0,15.251453106691773,43.99377362485982,0
TRIP_139,64.76220660843603,136.2504983848629,1,6,0,0,45.10947727565075,35.611221863302866,0
TRIP_140,40.22962820279254,73.64934171491454,3,7,0,0,12.23076327579945,25.033187047758787,0
TRIP_141,57.72951921524955,95.48438913345517,1,7,0,0,54.27469572143252,27.21875314076782,0
TRIP_142,70.68571305138914,123.24441110830858,7,3,0,1,32.66110853775638,53.72098024629079,1
TRIP_143,35.71020118526527,93.40717217508569,6,3,1,0,11.787033765883304,45.757149372241265,0
TRIP_144,57.21560630238765,104.04743592499467,3,3,0,0,27.793696708947586,29.121652427776603,0
TRIP_145,58.11859353098108,73.75212943706241,4,3,0,0,40.686854496038556,23.72269543045832,0
TRIP_146,64.38187446132773,103.56614194415297,1,7,0,0,27.009483686675335,29.014698209811773,0
TRIP_147,40.15659146946302,91.25711469990902,1,4,0,0,35.30044623236521,24.27935882220201,0
TRIP_148,39.154520642988686,114.71459991359725,2,5,0,0,46.1011754855793,31.492133314132726,0
TRIP_149,61.263298787402775,118.74772103129501,3,2,1,0,31.967144969185707,46.72171578473222,0
TRIP_150,58.56381607879823,146.79127284037227,3,5,0,0,20.944134853007995,39.9536161867494,0
TRIP_151,58.00591420415052,106.59266346427151,1,6,0,1,30.515240039422384,44.020591880949226,0
TRIP_152,59.15737851396371,101.51592633164333,4,10,0,0,56.222602046888895,34.55909474036518,0
TRIP_153,46.83970334105811,98.88768603154672,1,2,0,0,60.275965179997755,24.641708007010383,0
TRIP_154,57.78704436593204,87.93667414378623,3,6,0,0,5.0,27.541483143063612,0
TRIP_155,58.516869679584175,101.76967686923382,3,7,0,0,51.36541863787215,31.282150415385296,0
TRIP_156,46.427782983683585,89.09197179721941,1,3,1,0,38.752215740530346,38.13154928827098,0
TRIP_157,77.38929413373708,98.36921952539228,2,5,0,0,48.85974018680225,27.859826561198286,0
TRIP_158,60.68599505094145,121.3519507121592,4,2,0,0,26.74267609598556,33.633766824924265,0
TRIP_159,40.70435803356821,74.86914869440717,2,4,1,0,8.47604735747771,36.970921932090484,0
TRIP_160,62.878643303605955,117.7975712225809,0,3,0,0,43.76733182971193,28.177238049462428,0
TRIP_161,43.30381995727214,121.34230134679731,4,3,0,0,20.885341080759247,34.298289188177186,0
TRIP_162,64.44501524490943,92.63862946017842,0,1,0,0,14.175613527727215,21.253028768928537,0
TRIP_163,68.90314694808885,52.56290201982811,2,6,0,0,15.223979262898006,18.347311559961803,0
TRIP_164,45.151812179779476,82.84356025811135,5,3,1,0,44.01370673623002,42.07634672402475,0
TRIP_165,66.56051355093186,120.93989093122218,1,7,0,0,37.09178699043796,32.875531318049376,0
TRIP_166,59.95337112323798,94.54263875402236,5,6,1,1,46.73699032812011,61.6761419453383,1
TRIP_167,64.86472191993388,75.01395535410178,4,3,0,0,45.03612881744547,24.003101189800404,0
TRIP_168,77.76151579184737,84.90450157543565,4,3,0,0,28.68599653124351,26.201000350096816,0
TRIP_169,52.05534260796556,111.81240053009105,3,2,0,1,33.94289639183816,45.180533451131346,0
TRIP_170,45.95516602771012,105.9346713640276,6,4,0,0,27.328437068261906,34.20770474756169,0
TRIP_171,44.32582684449372,90.22135801660612,2,5,0,1,31.845083407017636,41.049190670356914,0
TRIP_172,45.21027658041474,87.66351176370625,4,6,0,1,20.491178930284008,43.81411372526806,0
TRIP_173,54.07477948703075,87.16483701912357,2,5,1,0,40.85726440811503,40.36996378202746,0
TRIP_174,59.09382369779973,76.55179631002994,5,1,0,0,51.12681123472635,24.344843624451094,0
TRIP_175,58.320289591960226,127.30751378938884,3,8,0,0,22.750804552685203,37.62389195319752,0
TRIP_176,64.92619898843229,88.5535906157732,3,8,0,0,54.21904468102014,29.011909025727377,0
TRIP_177,55.156022702534884,119.34317041650993,3,3,0,0,36.702822447169126,32.52070453700221,0
TRIP_178,72.4424089258878,125.42632103844903,1,6,0,0,38.6161846460872,33.20584911965534,0
TRIP_179,51.82411800114453,114.9662179629592,3,4,0,1,9.508557205887229,47.21471510287982,0
TRIP_180,87.64202999907542,86.36759374563903,6,3,0,0,7.891065356513987,29.192798610142013,0
TRIP_181,62.50800817318007,103.07460180673219,3,7,1,1,37.16174544169523,61.57213373482938,1
TRIP_182,44.71410932300461,94.51608787218167,1,3,0,0,46.84598186948011,24.336908416040377,0
TRIP_183,42.14929002326665,76.92596278539745,3,4,0,0,24.929293345325714,23.76132506342166,0
TRIP_184,60.78966898291822,101.48718563443207,3,7,0,0,60.051408508746334,31.219374585429353,0
TRIP_185,52.31844657608979,71.41920417680396,2,4,0,0,46.024039613814736,21.204267594845327,0
TRIP_186,63.568005929105105,118.75358776923127,3,6,0,0,21.37488122438022,34.389686170940294,0
TRIP_187,60.67885149488254,85.70765405403213,0,5,0,0,35.462730005802605,22.37947867867381,0
TRIP_188,54.12605304811753,99.02319311745678,8,11,0,1,72.15393700585119,55.00515402610151,1
TRIP_189,44.838475383179144,100.66575743092284,1,3,1,0,16.361539958004418,40.70350165131619,0
TRIP_190,36.82183330376962,89.82190052591845,1,4,0,0,42.92404908372658,23.96042233909299,0
TRIP_191,49.641820575195744,106.7338760295055,3,2,0,0,30.158831709149865,29.05197245100122,0
TRIP_192,65.27678553188167,85.50192686754951,2,3,0,0,45.60344436377768,23.66709485945545,0
TRIP_193,57.56912492956245,112.42594594914488,2,0,1,0,54.00910469477573,42.65021021092108,0
TRIP_194,40.051134655456146,68.08040639506503,3,5,0,0,29.206443669329488,22.462312532236673,0
TRIP_195,57.078171110214186,97.52759159092824,4,5,1,0,51.78368407560761,45.33946479798405,0
TRIP_196,59.62380855674604,133.7785799811657,3,2,1,0,68.31805091407941,50.06190666248127,1
TRIP_197,44.393710765586405,74.9933735078885,7,3,0,0,35.99412106016352,27.998527446197446,0
TRIP_198,56.84470127134634,81.44510058950297,3,6,1,0,46.77333031241278,41.09891124211177,0
TRIP_199,55.698504621352,105.2781569931783,3,3,0,0,26.143388446950876,29.395145998484075,0
TRIP_200,41.284356426032524,98.59163563879196,3,4,0,0,35.28888963546819,28.575919030842662,0
TRIP_201,59.2934483241794,102.01260198547118,5,5,0,0,32.34987360937636,32.66946710788249,0
TRIP_202,61.72941431641881,104.78374260295327,5,2,0,0,46.95403888487893,31.285276133989615,0
TRIP_203,67.99661491810332,107.6944293712354,4,4,0,0,53.07013903635388,31.93209541583009,0
TRIP_204,67.64562462441884,117.19399683912447,4,4,0,0,33.35517726323811,34.04311040869433,0
TRIP_205,38.46796758451491,103.19637313857025,2,6,0,0,58.00434268599385,29.599194030793395,0
TRIP_206,43.74609952101853,90.17484690762915,6,3,1,1,57.95071162342444,60.03885486836204,1
TRIP_207,61.18042320650392,108.45147402405462,3,3,0,0,47.70280614769851,30.10032756090103,0
TRIP_208,61.1654314109465,132.9976386979043,2,5,0,1,27.259602024174075,50.55503082175652,1
TRIP_209,61.18057223567257,92.34732507234853,6,4,1,0,25.82256774890146,46.188294460521895,0
TRIP_210,101.23277788785666,75.50941390658717,4,5,0,0,22.81427967964942,25.44653642368604,0
TRIP_211,61.850686128318,117.14161338573945,3,6,0,0,49.23749105357241,34.031469641275436,0
TRIP_212,68.62678768216719,92.59237672092803,3,5,1,0,16.823476887659535,42.909417049095126,0
TRIP_213,66.44802116191843,51.546609079719275,6,1,0,0,45.15256481166511,20.121468684382062,0
TRIP_214,62.81669501566957,111.94843354300843,4,5,0,0,18.783359782638307,33.54409634289076,0
TRIP_215,51.216769064315855,84.29343628092154,2,4,0,0,47.353191797629606,24.06520806242701,0
TRIP_216,64.10763064591922,93.18933435391679,1,0,1,0,35.25829374095841,37.0420743008704,0
TRIP_217,45.72609742554914,101.63960661138029,3,5,0,0,55.004578427897414,29.91991258030673,0
TRIP_218,52.15817671911989,98.80999359558133,4,3,0,0,52.12181867481907,29.291109687906964,0
TRIP_219,49.175637426050756,109.1890363427808,5,4,1,1,56.52598118003168,63.597563631729074,1
TRIP_220,55.98248967263587,86.29027258860313,6,4,0,0,56.91228077433669,29.84228279746737,0
TRIP_221,82.77590280008211,105.26211596352165,2,6,1,0,37.15446250982296,45.05824799189371,0
TRIP_222,32.592817688899025,89.80906644832166,4,5,1,0,17.61810400363093,43.62423698851593,0
TRIP_223,63.23512228449416,109.77620961775006,4,2,1,0,19.212154175039323,46.06137991505557,0
TRIP_224,35.64740954572418,107.30734968026107,0,2,1,0,5.0,40.179411040058014,0
TRIP_225,49.3368176105268,76.29122595910809,4,4,0,0,18.745012498578596,24.95360576869069,0
TRIP_226,68.0674071636084,116.71964232350064,5,6,1,0,36.03235486556974,51.604364960777914,1
TRIP_227,55.77136022914555,84.28073109771904,2,5,0,0,26.60518728762257,24.729051355048675,0
TRIP_228,42.06706266484832,111.1611559656229,5,5,0,0,32.29796593385223,34.70247910347176,0
TRIP_229,46.416355488880384,102.34574626802682,4,6,0,0,42.390731291921014,32.07683250400596,0
TRIP_230,63.15517298721611,131.76367353590246,5,4,1,0,30.43902112901363,53.614149674644985,1
TRIP_231,46.23560041939436,90.53068035256295,2,3,0,0,18.172567993811235,24.784595633902885,0
TRIP_232,57.5975030749837,88.01366407763605,2,3,1,0,34.20149498654852,39.22525868391913,0
TRIP_233,55.54686207884576,94.61160788224535,0,5,0,1,21.522642698407324,39.35813508494341,0
TRIP_234,47.1807958287302,88.93640434331449,4,4,1,0,30.938202545314056,42.76364540962544,0
TRIP_235,80.72732907190391,110.998838038841,1,4,1,0,55.14165446634505,43.666408453075775,0
TRIP_236,62.60702826781613,62.67378783126824,2,3,0,0,30.94242043855738,18.594175073615165,0
TRIP_237,30.698288960108712,73.92635161707292,3,3,0,0,61.56436330021617,22.428078137127322,0
TRIP_238,57.23745177723313,73.64394156841614,2,1,0,0,56.47453980406955,19.698653681870255,0
TRIP_239,47.058562422779346,114.00615183947151,2,2,0,0,26.31042037131435,29.334700408771447,0
TRIP_240,65.22920001755469,129.2122674516385,1,7,0,0,18.333143503763367,34.713837211475216,0
TRIP_241,45.48975113880759,92.91101562925057,3,2,0,0,34.211687571197096,25.98022569538902,0
TRIP_242,53.62316270239721,91.62356553619979,4,4,0,0,52.29991645095333,28.36079234137773,0
TRIP_243,61.05984734776548,96.40104326226363,6,3,0,1,27.64713640656968,46.422454058280806,0
TRIP_244,65.38906233004145,118.23756605216381,3,3,0,0,48.62135447393209,32.27501467825863,0
TRIP_245,40.596443115330686,76.45293731618852,2,7,0,0,53.126599837041326,24.32287495915301,0
TRIP_246,50.985985169908616,99.7673796546957,3,3,1,0,23.389615244560915,43.17052881215461,0
TRIP_247,49.30065626606853,114.5039525956486,1,2,0,0,24.85923367567119,28.111989465699683,0
TRIP_248,47.160049209115456,105.0218833987969,2,1,0,0,45.6899304819051,26.671529644177088,0
TRIP_249,76.18545088337316,98.79163233197487,1,4,0,0,37.277713244623556,25.953696073772193,0
TRIP_250,59.85978053153147,115.02092185134282,3,2,0,1,24.70907710184482,45.893538189187296,0
TRIP_251,39.86939254797946,40.93535414001526,4,4,1,0,29.717293278206192,32.096745364447834,0
TRIP_252,66.01434336465731,108.55750639061816,2,7,0,0,33.942206709088715,31.457223642359594,0
TRIP_253,80.4658743641516,81.91848633745153,2,4,0,0,11.52718362566809,23.53744140832256,0
TRIP_254,67.38958312661376,58.387342062870864,3,5,1,0,46.48464659724043,35.30829823619352,0
TRIP_255,36.76756040855184,105.22405199049962,2,8,0,0,27.81961716591213,31.383122664555472,0
TRIP_256,49.189191125604985,122.47317090325916,2,4,0,0,5.0,32.54959353405759,0
TRIP_257,70.20293379023947,92.25102970744616,3,3,0,0,34.64193547535821,26.500228823876924,0
TRIP_258,46.50796641257463,114.05749094405877,1,7,0,0,23.876431116597388,31.34610909867973,0
TRIP_259,60.32583313775474,127.24556515977291,6,4,1,0,60.33233288454015,53.94345892439398,1
TRIP_260,64.29560864115204,121.29828907168095,2,5,0,0,26.218324686200475,32.95517534926243,0
TRIP_261,43.876834341063,127.79929058742786,2,8,1,0,18.535349546320838,51.39984235276175,1
TRIP_262,54.2856957272584,109.84254982143784,2,4,1,1,42.61899004943024,59.74278884920842,1
TRIP_263,20.0,96.50867277803185,4,3,0,0,25.093289479886252,28.77970506178486,0
TRIP_264,42.707348303988525,62.96068376205663,1,1,0,0,23.308156981216516,15.991263058234805,0
TRIP_265,51.96918218328208,90.07875023740102,2,1,0,0,42.64252074236609,23.350833386089114,0
TRIP_266,40.0266018164218,78.13506809367617,4,8,0,0,19.39299038165651,28.03001513192804,0
TRIP_267,74.58893564717962,138.4188543499563,3,5,0,0,13.140895127008207,38.09307874443474,0
TRIP_268,37.8383034644724,91.48228375135326,3,3,0,1,60.88997003141506,41.32939638918962,0
TRIP_269,49.7194661596362,97.46409613568972,3,5,0,0,43.69248106400967,28.992021363486604,0
TRIP_270,56.5688869274331,106.02970752080935,6,4,1,0,31.036860725084523,49.228823893513194,0
TRIP_271,72.29527946879338,95.87204892744907,3,3,0,0,34.94784185447096,27.304899761655356,0
TRIP_272,37.769654185846726,128.90102080861504,3,1,0,0,42.58796537174234,33.31133795747,0
TRIP_273,68.95796502585952,82.54701276531097,1,5,1,0,49.60006174420131,38.01044728118021,0
TRIP_274,55.122796732235045,98.89214910474486,2,3,0,1,23.660370630274823,41.64269980105442,0
TRIP_275,43.22189618742459,80.15058828603904,4,4,0,0,40.49219788948523,25.81124184134201,0
TRIP_276,60.54524169115925,68.59954977558588,3,9,0,1,27.39943735684642,40.24434439457464,0
TRIP_277,57.38871634688164,82.76461818189429,3,7,0,0,32.165281332310634,27.05880404042096,0
TRIP_278,47.79739747409447,94.25926405903176,2,5,0,0,37.41039301197357,26.94650312422928,0
TRIP_279,55.83762501988023,86.4139555096548,3,4,0,0,34.899821404209916,25.8697678910344,0
TRIP_280,50.37623683765888,81.15158040252288,1,1,0,0,46.03350347453858,20.033684533893975,0
TRIP_281,56.362208143014975,66.87365072656333,2,7,1,1,42.30629838673391,52.194144605902956,1
TRIP_282,62.94556809425256,93.3378885474261,2,2,0,0,12.377461859417334,24.74175301053913,0
TRIP_283,74.03220179374422,64.90559251937995,3,7,0,0,14.63265189401837,23.09013167097332,0
TRIP_284,40.14621401407781,110.20111927379205,5,4,0,0,29.454249728610606,33.82247094973157,0
